station_eng,station_ru
Polezhaevskaia,Полежаевская
Borovitckaia,Боровитцкая
Biblioteka im. Lenina,Библиотека имени Ленина
Volgogradskii prospekt,Волгоградский проспект
Nagatinskaia,Нагатинская
Marksistskaia,Марксисткая
Vorobevy gory,Воробьёвы горы
Kashirskaia,Каширская
Nizhegorodskaia,Нижегородская
Lermontovskii prospekt,Лермонтовский проспект
Ulitca Dmitrievskogo,Улица Дмитриевского
Semenovskaia,Семёновская
Davydkovo,Давыдково
Kosino,Косино
Troparevo,Тропарёво
